tweets,polarity
Kohl 4:20 https://t.co/zsYaqT6pnI,positive
what are those (Vine by isabel levin) https://t.co/e1PSrePdaK,positive
"blown out, t-t-taste (Vine by pluought) https://t.co/KuVMnn1jbG",positive
I use GroupMe more than actual texts wtf,negative
Wearing my google socks so you know im lucky,negative
Just bought a lottery ticket y'all. If I win I'll buy a nice pair of socks.,negative
Yooooooo the chef cat thooooooooo https://t.co/mVuh6pe9lv,positive
i took a picture wit a gas station beaver mascot and ran it thru a filter wbu? #tellmeimpretty @… https://t.co/KN6Zxmuarf,negative
im just tryna go to in n out with squad and order complicated shit,negative
"Y'all last time I listened to the radio it was lit though but never again, the planets just happened to be aligned that day",negative
"""Cuz somebody stole
my car radio (aux cable)
and now I sit in silence""
#TwentyOnePilots",negative
.@Jordan_A_Blanco HOW'S BUSINESS?,positive
Waiting for @GlassAnimals to drop another dope song I can stick in a playlist by itself and listen to on repeat over 1000 times,positive
Waiting for @CASHMERECAT to drop some dope shit I can poop and shower to,positive
imma be locked in my room/davids place when new kanye/yung lean/any artist of note drops,negative
I downloaded Periscope again so I can look at live streams of drunk people and people on the toilet when I'm sad,negative
@_Petty_Wap_ tru,negative
@_Petty_Wap_ 🧀🧀🧀,negative
Calling me out smh https://t.co/vPaiQ9bk1o,positive
"@_Petty_Wap_ always, I never have anything better to do 🙃",negative
LOL https://t.co/VPohqjzsSv,positive
MAH KITTEHS R PLAYIN IM DA CAT CONDO LOOK OMG https://t.co/BigztrLxNk,negative
Happy birthday to @shlohmo !!! You get me through most days without breaking down!!!,positive
Pomegranates are so dope,positive
Haven't slept. Eating kettle corn. Life is ok,negative
@soleilcool me,negative
I think it's hilarious that I'm already getting early birthday calls 😂😂😂,negative
Sometimes the realest people are the ones you don't expect to be there,negative
*handful of Benadryl and half a bottle of Nyquil* https://t.co/Yp8xI1Ins0,negative
@soleilcool ah ok,negative
@ayerayyyy me the whole break 😩,negative
@soleilcool seriously? That's terrible,negative
"@AdrieannaReyes EGG WHITES, CHICKEN SAUSAGE, WATER",negative
So it wasn't just me https://t.co/lpW8Sf9o0H,negative
@Groundislava rooting for ya boy to pull thru cmon now,negative
👨🏽,negative
Just got this gold snap from j ice https://t.co/z7WiB0N9xb,negative
#vibes https://t.co/LtbRvaki5p,positive
@CeciliaEsquive_ ❤️,negative
.@CeciliaEsquive_ vieja,negative
@KingBCRDI knock knock. Who's there? Your reckoning,positive
You called? https://t.co/WxOrCqeY95,positive
Shoutout to my front neighbor https://t.co/iwYIkYWu9n,negative
@ugotgoobed you got a snapchat homie :p,positive
"Happy new year everyone! If I didn't call or text you I apologize, the list was long ❤️",positive
"""I'm only awake because I thought the fireworks were gunshots""
- J-Ice in Abu Dhabi on New Years, ladies and gentlemen",positive
"""Where do you see yourself in 10 years?"" https://t.co/vaLkqZ6NJo",positive
@hel_oh_el but it's a good one so it's chill,negative
Here's to kicking more ass in 2016,negative
"I love everyone, and I'm happy that I've completed one more year together with everyone.",positive
"And finally, New Year means saying all this shit and actually acting on it.",negative
New Year means letting others into your heart and learning that listening still requires sharing.,negative
New Year means growing a pair and acting in things that require action,positive
New Year means getting shit done as soon as it's encountered,positive
New Year means going to sleep at reasonable hours,negative
"@kooziekindofguy shoutout to ""go back to tinder""",negative
@jparecki95 ... But there is no difference,negative
"Y'all can lie to yourselves all y'all want, but let's be real: Texas is the best country in the world.",negative
@ayerayyyy never played it,negative
@AdrieannaReyes so am I adopting @ayerayyyy after grad school?¿?¿,negative
"But if not, would that further split the piece of soul he includes?",negative
"If Harry himself is a horcrux, is it possible for him to make a horcrux as well? From my understanding yes because his body is the horcrux",negative
"Netflix is useless, they don't have Lord of the Rings or Harry Potter",negative
@soleilcool hello,positive
@rocketcatgames that sounds like the worst possibility that humanity could possibly encounter,negative
WHATS HE GONNA EAT NOW?!?! THEY think they won,negative
"DJ Khaled is on the tour bus making real sacrifices without Chef Dee, what a hero",positive
@yungleann shoutout from tx cowboy,positive
@yungleann I still fuck heavy with crystal castles,negative
I love this way more than I should https://t.co/69XAyDBKHA,positive
@soleilcool what did I just watch?,negative
I just wanna retire to a nice cabin in Burma,positive
"The sad thing is, This is my fault. I'm actually playing myself.",negative
"I'm being a human today, waking up at a reasonable time and being social look at me",negative
@ayerayyyy get some pizza https://t.co/rZlLRfesm3,positive
Ok that was the last one I'm sorry,negative
I only commit to pizza https://t.co/UXgDpcuoKU,negative
https://t.co/dbti42QiME,positive
"❤️🍕
https://t.co/DAkLDrDEsz",positive
DYING https://t.co/iK3x9uun9L,negative
"@ugotgoobed those are the 2 cents I could fit in tweets, lemme know if they didn't make sense",positive
"@ugotgoobed at that point you did your best and you have to remember, you did what you could, now move on with your life, but be supportive",positive
"@ugotgoobed tell him what you see and just lay it on the table. If he doesn't pay attention then that's fine, if he does that's better",negative
"@ugotgoobed let your precautions be known, confront him but establish boundaries before it happens, say it's as a friend for best interests",positive
Should I buy a crocodile? https://t.co/i5zVIKFVQ1,positive
Bonie sanders: champion of the pooples,positive
Where can I get a Ciroc 🔑 apple tree?,negative
@egoraptor GODDAMMIT I HAVEN'T SEEN IT YET GAAAAAAHHHHHHH,negative
@ayerayyyy that's awesome! congrats!!!!!!!!,positive
@ayerayyyy NO? CONGRATULATIONS OMG THAT'S FUCKING AWESOME WHAT OMG,negative
@ayerayyyy aaro?,negative
@ayerayyyy I CAN FEED YOU AND OMG YEAH DO IT,negative
@ayerayyyy COME VISIT ME IN SEATTLE,negative
"oh man, i haven't listened to slipknot in so long, i forgot they had more normal songs",negative
I'm making THE playlist rn,negative
"Fear might be the death of me
Fear leads to anxiety
Don’t know what’s inside of me",negative
"Y cuando mas te necesito, ni aqui estas",positive
"fall off the deep end
and forgive my english
what's the point of language
if you don't say what you feel",negative
"@jparecki95 Please, I've never asked you for anything but, send me nudes!?!?!?! Please?!?!",negative
"It's a Mars Volta kinda night rn, haven't had one of these in a while",negative
"I cried when I streamed the Beatles off of Spotify, they were pretty inspirational to me.",negative
@ayerayyyy @AdrieannaReyes @_Petty_Wap_ ❤️,negative
@ayerayyyy @AdrieannaReyes @_Petty_Wap_ she most definitely would've hated me,positive
"@_Petty_Wap_ mine was 3/10, not enough shitty memes",negative
@_Petty_Wap_ festive,positive
"What do you want for Christmas?

ANOTHER ONE",negative
@_Petty_Wap_ @soleilcool I can't breathe 😂😂😂,negative
@AdrieannaReyes #tagnation,negative
@wondroushippo if you come to one in Dallas I'll mosh with you,positive
@soleilcool ur actually my favorite,positive
@_Petty_Wap_ @AdrieannaReyes https://t.co/R9v86ksSJm,positive
@AdrieannaReyes https://t.co/rVphzkVSfV,positive
@AdrieannaReyes I'm dying,negative
"@ayerayyyy that's right, I got you then",negative
@ayerayyyy buy me popcorn,negative
@graceenda my eyes are bleeding,negative
@_Petty_Wap_ @AyeButthead it's not a problem till you graduate,positive
@_Petty_Wap_ @Bobbye_Ovoxo meal plan 👀,positive
I made it https://t.co/p550fJa8tu,positive
fuck this is happening...,negative
"i'm gonna make an iphone app where everytime you shake it it'll moo and say ""stop being sad""",negative
i cant sleep and everyone i would talk to right now is asleep or overseas,negative
@shlohmo i died laughing omg. rip me.,negative
my favorite color is black because it's blue,positive
"It's ok to cry, but just remember it won't fix much",negative
@jparecki95 I'm turned in omg,negative
"""Sometimes life is rough, sometimes life is calm"" https://t.co/RD1OEvDN4u",positive
"Here's a gif version of the landing, what an achievement https://t.co/76VAcHDi7x",positive
I cannot believe the achievements made by @SpaceX on the successful landing of the first stage Falcon 9 congratulations to everyone involved,negative
me rn @ Kenny's Italian Kitchen https://t.co/n2ez1nno1J,negative
Bing when I meet your parents https://t.co/iAZs0dZUc9,positive
This is why I save my favs https://t.co/WgKwHXfG4l,negative
"When you're just tryna fall the fuck asleep but then your mind is just like ""lol no fuck you""",negative
@ayerayyyy @CeciliaEsquive_ I MISS YOU MORE!!!!! And Ceci sometimes when she's not being difficult 🙃😒,negative
@ayerayyyy retweet pero you're on private,positive
@ayerayyyy Reese's for days,positive
I feel truly blessed for this opportunity.,positive
I found the person who's done what I want to do. And I just learned that I'm going to be working with him this summer.,negative
#goals https://t.co/891QJYK7ug,positive
@CeciliaEsquive_ te los llevo ahorita si quieres,negative
"Alright, new game: guess how many FUCKING TABS I HAVE OPEN IN CHROME",positive
@_Petty_Wap_ @AdrieannaReyes WHERE DO YOU KEEP THESE PICTURES,negative
"i'm listening to skrillex, what year is it?",negative
I forgot how well I knew Java until this shit got started,negative
fuck this android project though,negative
"At a starbucks
""Name?""
""batman""
""no""
""Jorge""
""with a J?""
""I mean it isn't Gorge""",negative
Currently 3:06 AM,negative
"I have to finish this android app because it's my final, but I also have to wake up at 5 am. Let's see how sleep deprived I'll end up 😁",negative
imma die young but its chill because at least i ate mayonnaise at times,negative
3rd day in a row that i don't sleep :^),negative
"""remove it""
*rm -f file*
""lol force""
""tbh i thought that meant 'file'""",negative
lol @ sleep,negative
"""what part of portland are you from?""
""the port""",positive
when your own shadow don't fuck wit you https://t.co/Hd7ayxsjrK,negative
"It's not a dilemma, it's just something I have to get through",negative
"cheese emoji is best emoji, next to the upside down smile",positive
@ugotgoobed but they're pretty girls with asses so we can't say anything,negative
I'm sitting at the base of the space needle on my laptop trying to charge my phone because that's the kind of shit i do,negative
DJ Khaled sent me the key to success during this interview #blessup,negative
"I'm nervous for my interview tomorrow, but if I don't get the job, at least I tried.",negative
"Last time I flew I was little, we'll see how this goes",negative
I have to get my hair cut in Seattle tomorrow 😶,negative
DECK DA CLUB WIT BOUGHS OF MONEY,negative
pocky  https://t.co/BaP3MJHhkX,positive
.@KippItSimple lol,positive
https://t.co/karcN5ogfI,positive
omelette eggnog,negative
do you ever get so bored with the internet that you throw your computer out a window and drink yerba mate instead?,negative
send me pictures of cats and maybe some dank memes or don't if you don't want to it's ok,negative
i was trying to find a place to study and take selfies with my banana,negative
"Wow, I'll be waking up in an hour and a half 🙃",positive
david and i got this fire playlist of hype study music like damn this is fire,positive
@eeveeyen ALL. THE. FUCKING. TIME.,negative
"""modify the values to emphasize convergence rate""
i literally copied your sample code and it worked prof, dont do this to me",negative
@soleilcool im basically bill gates,negative
"My compression algorithm took the bible, a 6 mb file, and compressed it to the super low value of only 46 mb :D (#killme)",positive
Apparently all they need is the price of a shitty cup of coffee,positive
Did you know that if everyone reading right now donated $3 to Wikipedia they would stop fucking showing a shitty banner every fucking time?,negative
Pero nací en tiempo para ver Dank Memes https://t.co/xFbKYBvSFd,negative
I found this way too funny tbh https://t.co/HcjBTckt3s,positive
Is there even a name for the emotions I'm feeling rn,negative
@jparecki95 cheese pizza,negative
"im using a floppy disk as a coaster, how cool am i?",positive
🌮💩🐔 @CeciliaEsquive_,negative
@CeciliaEsquive_ I FIXED IT NOW ITS ALL GOOD NO PROBLEMS HERE 🙃😁,positive
"it's been 3 hours but i fixed it, things work 😬",negative
orrrrrr I can snapchat my professor and ask for help 😁,negative
I've got three screens full of garbage from failing to compile the app. I've resorted to using the terminal because the IDE isn't helping,negative
"Fuck it, this isn't the first time that I've done an assignment without testing/compiling till the end",negative
LET'S PRETEND THAT MY APP BUILDS CORRECTLY AND I CAN FINISH MY HOMEWORK DUE MONDAY YEAH,negative
3:41 am can't sleep 🙃🙃🙃,negative
Stressing doesn't get stuff done.,negative
@jparecki95 https://t.co/HNcqTCPZ8X,positive
@AdrieannaReyes Magic City Hippies are actually the best,positive
@AdrieannaReyes https://t.co/XFaSpQivNG,positive
I'm trying so hard to enjoy Android development but every time it looks even remotely enjoyable it comes back to bite me in the ass,negative
I'm not sure how I feel about these Gradle configuration files...,negative
one of those nights where you go through all of the incense and code naked on the floor while you listen to arctic monkeys,negative
@_Petty_Wap_ I didn't know we were in a class together,negative
tru,negative
wut is happengbg,negative
omg dennys pancakes rn wow,negative
"""You seen any deals for Black Friday?""
""Nah, I got everything I want""",negative
FOCUS AND STUDY @RachaelRodgers5 https://t.co/WPg1Lwn3BI,positive
I do it all for Lil Bub,negative
Shoutout to Starbucks for the bomb ass cup designs https://t.co/bA49wbpOXu,negative
@CeciliaEsquive_ i hate you for being you,positive
@CeciliaEsquive_ smh,negative
@CeciliaEsquive_ smh,negative
thot @CeciliaEsquive_,negative
I just bought a pumpkin spice latte and I have no regrets whatsoever,negative
wow I love being a TA my students love me 😊😊😊 https://t.co/RAkKPo8uQW,positive
Let's talk about how familiar I am with corporate resources to the point where it's weird,negative
I'm getting way too good at this,negative
I'm gonna pretend everything's chill until I actually believe it and then I will have successfully ignored my problems yet again 😁😁😁,negative
Sandwich was good AF lemme tell ya,negative
Yall don't understand how excited I am for this sandwich omg like hella,negative
@soleilcool ... Me...,negative
@TOKiMONSTA A E S T H E T I C,negative
doing research guys pls help out and share thx &lt;3,positive
me irl https://t.co/fQ2mVQCuRV,negative
true life i collect bottle caps and antique cleaning products,negative
@ayerayyyy shhhhhh,negative
when ur prof finna take tips to sing las mañanitas https://t.co/piHAnLCH9f,positive
when ur final form is a hipster tbh @ The Wild Detectives https://t.co/C0Q8RWoCdF,positive
so far i like it though,negative
"writing 2048 in under 100 lines of python, this is gonna suck ass tbh",negative
@ayerayyyy lowkey helped me when i'm drunk,negative
@soleilcool good luck!,positive
Versace Traphouse,negative
How much do I have to pay so I can fall asleep?,negative
@AdrieannaReyes this was posted on Facebook by our senator https://t.co/wu3IBzxze5,positive
"@AdrieannaReyes I'm out of the loop, what happened?",negative
When you feel shitty so you try to pretend like it's all chill but you wanna crawl in the shower and listen to your sad ass music,negative
Can't handle rn,negative
"4 am, cops just knocked on the door, my suit mate threw up on himself again, he's plastered 😑",negative
https://t.co/62OcD1uPby,positive
me irl https://t.co/skJ4EsnjdR,negative
I fucks with this one too https://t.co/LSx1UQqDmN,negative
this is the mood rn,negative
https://t.co/jZBMpISYzs,positive
One step closer to my goal of teaching computers how to read poetry,negative
@CeciliaEsquive_ oy tú ya te crees muy atleta huh?,negative
"Let's play ""guess who's not going to class because walking back from my 9 am soaked through my jacket and now I can't leave my room""",negative
One of the most astonishing and deeply profound representations of pain I have ever experienced through sound https://t.co/2CekT2q5Uo,negative
Never realized that pitchfork shit so badly on the masterpiece that is Dark Red,negative
Convince a meadows kid to let me break their drumsticks n jam,negative
"I'm not gonna let my hair grow out like that again, why did my parents allow that",negative
Throwback to when my ears could handle heavy bass and double bass pedals and my hair touched my shoulders.,negative
I fucks with the MOOG,negative
Yung Lean and King Crimson kinda night,positive
@jparecki95 terrible,negative
The only reason I won't get a masters in CS here,positive
"When you're so tenured you fucking started the CS department, you can cross out the year on your syllabus from 2004 and hand out the 1st pg",negative
@RachaelRodgers5 how poetic,negative
Bologna and chill? @taylorswift13,negative
I just applied for an internship at Tinder. Let's hope they swipe right 😁,positive
"""Our database doesn't understand the concept of sauce""
I'm dying 😂",negative
"Apparently I can legally start a church in my dorm room...
Watch out guys, I'm starting The Church of Wewlad",negative
"""Do you have a DS?""
""No, I have a Wii U, cuz I'm a MAN, you BITCH""",negative
Good morning everyone http://t.co/trs68Hk87e,positive
Bernie's the realist even while he initiated handshakes with every motherfucker on the stage,negative
@_Petty_Wap_ you gotta hear both sides of the debate though,positive
"""The enemy soldier who threw the grenade""
Way too fucking real",positive
Watching the debate whole slightly inebriated is hella fun,negative
"I don't smoke, but fuck Bernie, how real of you",negative
"Ummm, Hillary just contradicted her shit",negative
"O'Malley is standing for the planet, Sanders stands for the People, Clinton is standing for ""I'm a gril ;)""",positive
"I don't believe in everything that Bernie stands for, but he's honest and stands by his shit, and so far he's been slaying #DemocraticDebate",negative
"While I respect the impact and progressive standpoint shown by being the first female president, there has to be another reason for Hillary",positive
Aka The Lawn-Mowing Mexican,negative
Aka Mr. Corn Tortilla Takis,positive
I'm Jorge aka The Original Huarache,positive
My spirit animal http://t.co/MLEULgjYjO,negative
"Jack: ""NI SAN!!!""

Jack: ""fuck, I'm a weeb and I didn't know it""",negative
"Me: ""wash your hands you disgusting fuck""
Jack: ""my dick is immaculate""",negative
Farts are just the spirits of food leaving the body,negative
When you're at a coffee shop and you have to go poo but your phone is at 1% so you go in with sticky notes and a textbook 😶,positive
"David: ""you look sad""
Me: ""yeah man""
D: ""make a tumblr, don't tell anyone about it, and just write shit""

damn",negative
i fucks wit da mandlebrot sets,negative
apparently it's in hebrew guys http://t.co/csldU5t48x,positive
I had a Bacon and Bourbon Popsicle from steel city pops. I've never questioned my existence more than I did when I bit on a piece of bacon,negative
@thirdeyemary BRING ME SOME PLEASE,negative
I'm really hungry but i don't want to get up to go to the dining hall and i don't wanna pay for food delivery so I'm just gonna fall asleep,negative
"""They're looking for someone to do their bitch work, and I want to be their bitch""
@RachaelRodgers5",negative
@Franciscooo_34 I know some of these things,positive
Kidbuu released a new track 🔥🔥🔥,positive
Let's see how today goes http://t.co/Mbxz2jsnEc,positive
"""I know the best Jewish bakery in New York""
""What's it called?""
""Jewish Bakery""",positive
Math: not even once,negative
The only bad part about majoring in CS is that technical interviews are designed to break wills,negative
I got natural language processing of web articles done in english. NOW IMMA DO IT IN SPANISH,negative
well shit http://t.co/LVRHLwkpOJ,positive
@jparecki95 truuuu,negative
"Me: ""You busy right now?""
Alex: ""I'm eating spaghetti and watching Naruto""

👀",negative
Walking into Fogo de Chao without waiters asking if you're lost #goals,negative
"Mom called me because of sports things, and then halfway through she stopped because she remembered I don't care about sports things",negative
I dream of times when I can write makefiles without having to google the fuck out of everything,negative
"Just finished my pinterest interview test, I feel good, but the knot in my stomach is still there...",negative
@cakeslap this hit close to home,negative
Phantogram kinda day,positive
Don't even know anymore,negative
"@_Petty_Wap_ with a score of 420, we all know who really won",negative
@CeciliaEsquive_ 😐,negative
Freshman and alcohol is a wonderful mix,positive
"Just picked freshman suite mate up from the cops, he's my legal responsibility now 😐",negative
Me irl http://t.co/94TuZPX7NB,negative
It's scary seeing good friends of mine applying for full time positions 😱,positive
Oh fuck thank god they got my back http://t.co/gBA5EFBqKT,positive
"Their application filled itself out when I submitted my resume

#THEFUTURE",positive
"I wanna intern at Pinterest because they call their interns ""Pinterns""",negative
@Jordan_A_Blanco we're everywhere 😎🐓🇲🇽,negative
#ThankYouBasedGoogle,negative
@blaine8english oh I believe it,negative
@blaine8english I used google maps to find one of my classes the first day,negative
"Codejam is now official, send me club-related email at jorge@codejam.space",positive
I feel like a future employer wouldn't appreciate my inane sense of senselessness,positive
"Etsy application asked for my Twitter, I didn't give it to them, am I gonna die AF?",negative
FUCK https://t.co/ALaKvZ23QN,positive
Last day of work I spent it applying to internships for next year 👀,positive
I should pack...,positive
PREACH https://t.co/mBboq1wWye,positive
"""If everyone in your life is NOT a little weird then you are fighting the universe too much. The universe is a little weird also.""",positive
I was on the verge of breaking down in the office and then I figured this shit out,negative
@KyungJae94 @jparecki95 the one left of the hamburger looks like a toilet seat...,negative
Just tap or click for a new gif 😁,positive
"Now running full time, http://t.co/xd63GzZtkj

Go waste your time",positive
"Oh, someone just looked for robots.txt, how exciting",negative
"I made a thing, just tap or click for a new gif http://t.co/ZCWyHwTovi",positive
"Send me cat pictures and mix tapes 
jorge@wondroushippo.biz",negative
@tolu_salako you're moving in early?!?!,negative
@wondroushippo jorge,negative
Proud owner of http://t.co/NFVBbF0DpC http://t.co/rvgxKGkObH,positive
@wondroushippo 'wondroushippo' or 'carter'?,negative
@wondroushippo done,positive
"My resume objective says ""Will give useless feedback for supermarket coupons"" because word autocorrected 'condoms'",positive
I think I'm gonna buy http://t.co/NFVBbF0DpC,negative
@jparecki95 I'm wet,negative
I bought these headphones so that I can lay on the floor and stare at the ceiling fan for days without my music sounding like shit,negative
"I was about to buy a futon, but I bought a giant bean bag instead",negative
DNS COLORS!!!!! @digitalocean http://t.co/jHFXkMbNLl,positive
#tendies,negative
@cakeslap blue strips white toothpaste,positive
@cakeslap WE NEED TO COLLECT ALL FIVE PIECES TO DEFEAT KAIBA,negative
I wanted the manual page for the mate command -_-,positive
I googled 'man mate' and now my dumb ass has that shit in his search history,negative
.@cakeslap,negative
"Oh bashrc, why you gotta make me so frustrated?",negative
"If ""barnacles"" is a cuss word in Spongebob, then Barnacle Boy is a fuckboy",positive
Wonderful tribute to Miyazaki https://t.co/NckBkjuKZN,positive
http://t.co/PNqrvNy5Ng,positive
@RachaelRodgers5 @tolu_salako relevant http://t.co/OQ3iuErdrp,positive
Tira me a las arañas,negative
"Me rn, these guys are fire http://t.co/rWSrVTLUsW",negative
@jparecki95 http://t.co/n3RGbRWycN,positive
Nice try Spotify http://t.co/RW4chlv8wx,positive
Good god Lemon,positive
"""Why is it called a pipe?""
""Because data goes in one end and goes out the other!""
""Oh, like a water pipe!""
""YAS!!!""",negative
"Also started teaching her Python, she's picked it up so quickly it terrifies me",negative
"Bought my sister a Raspberry Pi, and taught her how to use the command line. Now she corrects me when I do something wrong 😁",negative
"Didn't get much work done today, but lemme tell you why bloom filters are so goddamn cool",negative
Raven AF  https://t.co/ARXGQ8RG62,negative
@cakeslap I'm so proud :'),negative
@jparecki95 cada cabra cubre cabrones,negative
@jparecki95 WATERMELON IN MY ANUS #StoryOfMyLifeIn4Words,negative
@jparecki95 WATCH ME,negative
"Migos sampled Chrono Trigger, life is good 🔥💸🐼",positive
Ninja pirate camel toe #StoryOfMyLifeIn4Words,negative
.@danielgweiser http://t.co/6d5mnHkREy,positive
Lol nah I'm just ugly 👨🏽,negative
When someone takes a picture of me http://t.co/wOkIWENPQG,negative
@RachaelRodgers5 @tolu_salako that's because you're wasting your time with books and education smh,negative
"I almost bought ACL tickets, but the only band I want to see that doesn't come to Dallas is @GlassAnimals 😞",negative
http://t.co/3nBpfQYYZq,positive
"@tolu_salako this caused me physical pain, I know all of the lyrics 😧",negative
@tolu_salako @RachaelRodgers5 does she understand this though? http://t.co/n5hZII5QQo,negative
@tolu_salako @RachaelRodgers5 pobrecita gringa,negative
"@tolu_salako @RachaelRodgers5 can't tho, private tweets smh",negative
@tolu_salako @RachaelRodgers5 do us a favor please http://t.co/1LgdN8HJpk,positive
@tolu_salako @RachaelRodgers5 sad,negative
@v_jorgea dumbfuck I forgot the picture http://t.co/HrNYvsTJi8,negative
Avi relevant #PROPAIN #ÆSTHETIC,negative
#same http://t.co/5ktsftHLIh,positive
"@wondroushippo Buc-ee's is wonderful, one of my high school teachers used to call it redneck heaven",negative
me irl http://t.co/k1AEIAqtjI,negative
"Don't lie to use, YOU KNOW Win32 API was never working",negative
Nothing's as eloquent and beautiful as Clojure,positive
LinkedIn AF,negative
Same https://t.co/X7YOvo4MVp,positive
"Same with data analysis, machine learning, and neural networks",negative
"Same with redis, have no idea what to do with it",negative
I'd do something cool with a graph db if I knew of something cool that you can do with a graph db,positive
"Windows 10 is pretty great on the Surface Pro 3, wow",positive
emotions http://t.co/yfzGz67CNR,positive
"Me: You ever heard of S A D B O Y S?
Richard: No, I don't do kpop or korean dramas
❓they're similar in spirit?",negative
I guess I won't be hiring anytime soon to save $84,positive
The Texas state gov't apparently wants me to buy posters on Disability Insurance and Sexual Harassment for our company's employees...,negative
Oh fuck I forgot to push to git 😱😱😱,negative
"Wow, I was productive AF at home, I feel wonderful ☺️",negative
... While making sure not to break the monolithic legacy code and keeping support for excel files,positive
"You know what's fun? Processing a csv file into an SQL database when the file may not have all of the fields, values, or wrong data types",negative
... http://t.co/sENAcQtx29,positive
"Reading through the Om tutorial for CLJS, and this makes SO much more sense that regular old vanilla React does :D",positive
@ZutatenSA well fuck,negative
I'd probably sell my soul for a pack of gummy bears tbh,negative
"But I'm no expert, and I have little experience, so take that as you will",positive
"I feel like the secret to an advanced AI lies in big data; not just throwing around the buzzwords, but doing meaningful things with the data",negative
@SoleilKohl wait are you at wiz khalifa or fall out boy?,positive
I've been to the restroom five times in the last hour guys I think I'm pregnant,negative
SPOILER ALERT I liked it,negative
I preserved my Discover Weekly playlist from Spotify. Here it is if yall wanna see what ALGORITHMS think I like http://t.co/wSRUx7aYsQ,positive
@thirdeyemary oh fuck I had easy mac 😔,negative
I have this feeling that my spirit animal is a racist 70 yr old badger,negative
@CeciliaEsquive_ that looks good af,negative
http://t.co/hF85CoRhgb,positive
Now I have to go back and deal with their shitty service again and hope to Xenu I get a phone that works,negative
"I went to go get my phone fixed at the apple store, and the replacement phone they gave me has a faulty touchscreen -_-",negative
Found my spirit animal http://t.co/v37NxLBzOn,positive
@thirdeyemary yo tambien a ti 😇,positive
@thirdeyemary 😞,negative
@thirdeyemary but thats bad for you eat carrots instead 😊,negative
"Swallow the sun, release unto nothing",positive
@RachaelRodgers5 😁😁😁,negative
"My coworker just referred to CNN as Communist News Network, I'm dying",negative
"Wow. Just, wow...",positive
It's a powerful thing when you see the live performance of music that got you through some tough shit. Phantogram was the same,negative
"You actually have to see @sonlux live, their albums are glorious but they do the live show no justice. I actually reared up a little",negative
"Literally the best show I've ever been to. Wonderful performance, still got goosebumps @sonlux http://t.co/xuEc7AQtkK",negative
SO PUMPED FOR @sonlux YOU HAVE NO IDEA http://t.co/NJtqncnZea,positive
I'm actually an idiot,positive
I paid more for my shoes than I did for all of the things my sister and mom are wearing combined,negative
My tie cost more than my shirt #justdumbthings,negative
Wedding today. My socks match my shirt #justdumbthings,negative
"http://t.co/PIuImXA1aX
Things like this make me really giddy, I love this stuff",positive
"But really though, no regrets, typing is more fun than lots of things now",negative
Who thought it was a good idea to let me make my own decisions?,positive
I've been doing typing lessons for the past two hours because I bought a $200 keyboard,negative
"Homeboy just sent me this...
What a time to be alive http://t.co/dxK1qsojyd",negative
@soleilcool dank,negative
I'm getting this poetry tattooed on my right ass cheek http://t.co/qDHZ8ktfR4,negative
"@soleilcool send them to me, I'll edit them and add music. It's the sole reason I got a Mac",negative
I'll bet you $50 that you'll enjoy these snaps,positive
"Really though, get your shit together, these snaps are gold https://t.co/siC8YSeqU3",negative
That question is what I ask myself on the train to work every morning https://t.co/GWS5nXnmCF,positive
"Yoga was rough, but persistence is key.",negative
"My code is broken and I don't know why and I want to punch somebody

Happy Monday everyone",negative
"If it is what it does, can it be?",positive
"I'm deep and mysterious. Y'all can't understand me, I drink artisan coffee and eat gummy bears imported from Milan.",negative
Till Lindemann is a badass,positive
http://t.co/l90XW6BL6B,positive
#neverforget http://t.co/rBxl1Ef8eC,positive
"New Yung Lean tomorrow apparently, remind me to take Kleenex to wipe my Arizona tears",negative
Or like if Closure in Moscow started in the late 70s,negative
This sounds like a cross between Muse and The Fall of Troy http://t.co/pU7hoz3XiW,positive
I haven't listened to music with real instruments in a while...,negative
Gghuuhhhhhhhhghhiiiiooohhhgghhh http://t.co/xDjzY2dABh,positive
Digging it http://t.co/QCgU1Fjfoa,positive
"Someone referring to Slipknot as ""un-mariachi Mars Volta""

My sides I can't stop laughing omg",negative
I made the news again! http://t.co/1JhcNjIfKe,positive
"@BScotchShenani love you guys, super excited for Crashlands!!!!!!!!",positive
@SlackHQ thank you loves!!!,positive
@thirdeyemary meeeee,negative
Is it possible for a Hubot to edit user messages? @SlackHQ @github,positive
"Twitter doesn't care about the tweet text, so I'm free to spout my nonsense bullshit 😁🌀👍",negative
"The 20 bytes are the tweet id, author id, and something that says if it's a retweet, reply, or other tweet type",positive
What did I learn in the past hour: Twitter timelines are stored as lists of 20 byte tweet metadata in Redis clusters,positive
@v_jorgea what is my life,negative
Night calls to discuss software systems architecture for scalability and stability in regards to theoretical scenarios,negative
@SoleilKohl http://t.co/IIBeSStf6J,positive
"Fuck face chanchos... 

I'm using that shit so much from now on oh my god",negative
"If Jody is fire trash, I wanna be fire trash too https://t.co/CtPe5AKhdM",negative
"@v_jorgea shittier, but I guess shit tier works",negative
Can't imagine working without either of those https://t.co/rt05a3vKg4,negative
"If I had a nickel for every pixel in my sci, I'd have 3 cents",positive
I love that Twitter turned my shitty resolution picture into an even shit tier resolution avi,negative
